id,title,option1,option2,option3,sku,requires_shipping,taxable,featured_image,available,price,grams,compare_at_price,position,product_id,updated_at,vendor,url,key,bio,productType,type,type_coffee,origin,beans
31653680513104,250g,250g,,,La Anona 250,True,True,,True,15.5,250,,1,4430946009168,2020-01-08 10:56:40+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"La Anona is one of the two farm plots ran by the sons of Roman Flores (Los Chorros). This is the first year we are featuring their coffees, and we had an amazing start with La Fila! Now we move onto the second coffee, which comes from Melvin Flores. This beautiful lot benefits not just from the amazing terroir of Intibuca, but also from careful processing. The profile in the cup displays a great range of flavours: fresh grape, chocolate, and sweet butter cookies, with a structured acidity.</p>
",Filter Coffee,Beans,Filter,Origin: Centrals,1
28319334727760,1 box (5 pouches),1 box (5 pouches),,,VOILA INSTANT COFFEE,True,True,,True,17.5,23,,1,3591670038608,2020-01-07 22:53:40+01:00,The Barn Coffee Roasters,https://thebarn.de,0," </p>
<blockquote class=""instagram-media"" data-instgrm-captioned="""" data-instgrm-permalink=""https://www.instagram.com/p/B3wtjXYjcjJ/?utm_source=ig_embed&amp;utm_campaign=loading"" data-instgrm-version=""12"" style=""background: #FFF; border: 0; border-radius: 3px; box-shadow: 0 0 1px 0 rgba(0,0,0,0.5),0 1px 10px 0 rgba(0,0,0,0.15); margin: 1px; max-width: 540px; min-width: 326px; padding: 0; width: calc(100% - 2px);"">
<div style=""padding: 16px;"">
<a href=""https://www.instagram.com/p/B3wtjXYjcjJ/?utm_source=ig_embed&amp;utm_campaign=loading"" style=""background: #FFFFFF; line-height: 0; padding: 0 0; text-align: center; text-decoration: none; width: 100%;"" target=""_blank"" rel=""noopener noreferrer"">
<div style=""display: flex; flex-direction: row; align-items: center;"">
<div style=""background-color: #f4f4f4; border-radius: 50%; flex-grow: 0; height: 40px; margin-right: 14px; width: 40px;""></div>
<div style=""display: flex; flex-direction: column; flex-grow: 1; justify-content: center;"">
<div style=""background-color: #f4f4f4; border-radius: 4px; flex-grow: 0; height: 14px; margin-bottom: 6px; width: 100px;""></div>
<div style=""background-color: #f4f4f4; border-radius: 4px; flex-grow: 0; height: 14px; width: 60px;""></div>
</div>
</div>
<div style=""padding: 19% 0;""></div>
<div style=""display: block; height: 50px; margin: 0 auto 12px; width: 50px;""><svg width=""50px"" height=""50px"" viewbox=""0 0 60 60"" version=""1.1"" xmlns=""https://www.w3.org/2000/svg"" xmlns:xlink=""https://www.w3.org/1999/xlink""><g stroke=""none"" stroke-width=""1"" fill=""none"" fill-rule=""evenodd""><g transform=""translate(-511.000000, -20.000000)"" fill=""#000000""><g><path d=""M556.869,30.41 C554.814,30.41 553.148,32.076 553.148,34.131 C553.148,36.186 554.814,37.852 556.869,37.852 C558.924,37.852 560.59,36.186 560.59,34.131 C560.59,32.076 558.924,30.41 556.869,30.41 M541,60.657 C535.114,60.657 530.342,55.887 530.342,50 C530.342,44.114 535.114,39.342 541,39.342 C546.887,39.342 551.658,44.114 551.658,50 C551.658,55.887 546.887,60.657 541,60.657 M541,33.886 C532.1,33.886 524.886,41.1 524.886,50 C524.886,58.899 532.1,66.113 541,66.113 C549.9,66.113 557.115,58.899 557.115,50 C557.115,41.1 549.9,33.886 541,33.886 M565.378,62.101 C565.244,65.022 564.756,66.606 564.346,67.663 C563.803,69.06 563.154,70.057 562.106,71.106 C561.058,72.155 560.06,72.803 558.662,73.347 C557.607,73.757 556.021,74.244 553.102,74.378 C549.944,74.521 548.997,74.552 541,74.552 C533.003,74.552 532.056,74.521 528.898,74.378 C525.979,74.244 524.393,73.757 523.338,73.347 C521.94,72.803 520.942,72.155 519.894,71.106 C518.846,70.057 518.197,69.06 517.654,67.663 C517.244,66.606 516.755,65.022 516.623,62.101 C516.479,58.943 516.448,57.996 516.448,50 C516.448,42.003 516.479,41.056 516.623,37.899 C516.755,34.978 517.244,33.391 517.654,32.338 C518.197,30.938 518.846,29.942 519.894,28.894 C520.942,27.846 521.94,27.196 523.338,26.654 C524.393,26.244 525.979,25.756 528.898,25.623 C532.057,25.479 533.004,25.448 541,25.448 C548.997,25.448 549.943,25.479 553.102,25.623 C556.021,25.756 557.607,26.244 558.662,26.654 C560.06,27.196 561.058,27.846 562.106,28.894 C563.154,29.942 563.803,30.938 564.346,32.338 C564.756,33.391 565.244,34.978 565.378,37.899 C565.522,41.056 565.552,42.003 565.552,50 C565.552,57.996 565.522,58.943 565.378,62.101 M570.82,37.631 C570.674,34.438 570.167,32.258 569.425,30.349 C568.659,28.377 567.633,26.702 565.965,25.035 C564.297,23.368 562.623,22.342 560.652,21.575 C558.743,20.834 556.562,20.326 553.369,20.18 C550.169,20.033 549.148,20 541,20 C532.853,20 531.831,20.033 528.631,20.18 C525.438,20.326 523.257,20.834 521.349,21.575 C519.376,22.342 517.703,23.368 516.035,25.035 C514.368,26.702 513.342,28.377 512.574,30.349 C511.834,32.258 511.326,34.438 511.181,37.631 C511.035,40.831 511,41.851 511,50 C511,58.147 511.035,59.17 511.181,62.369 C511.326,65.562 511.834,67.743 512.574,69.651 C513.342,71.625 514.368,73.296 516.035,74.965 C517.703,76.634 519.376,77.658 521.349,78.425 C523.257,79.167 525.438,79.673 528.631,79.82 C531.831,79.965 532.853,80.001 541,80.001 C549.148,80.001 550.169,79.965 553.369,79.82 C556.562,79.673 558.743,79.167 560.652,78.425 C562.623,77.658 564.297,76.634 565.965,74.965 C567.633,73.296 568.659,71.625 569.425,69.651 C570.167,67.743 570.674,65.562 570.82,62.369 C570.966,59.17 571,58.147 571,50 C571,41.851 570.966,40.831 570.82,37.631""></path></g></g></g></svg></div>
<div style=""padding-top: 8px;"">
<div style=""color: #3897f0; font-family: Arial,sans-serif; font-size: 14px; font-style: normal; font-weight: 550; line-height: 18px;"">View this post on Instagram</div>
</div>
<div style=""padding: 12.5% 0;""></div>
<div style=""display: flex; flex-direction: row; margin-bottom: 14px; align-items: center;"">
<div>
<div style=""background-color: #f4f4f4; border-radius: 50%; height: 12.5px; width: 12.5px; transform: translateX(0px) translateY(7px);""></div>
<div style=""background-color: #f4f4f4; height: 12.5px; transform: rotate(-45deg) translateX(3px) translateY(1px); width: 12.5px; flex-grow: 0; margin-right: 14px; margin-left: 2px;""></div>
<div style=""background-color: #f4f4f4; border-radius: 50%; height: 12.5px; width: 12.5px; transform: translateX(9px) translateY(-18px);""></div>
</div>
<div style=""margin-left: 8px;"">
<div style=""background-color: #f4f4f4; border-radius: 50%; flex-grow: 0; height: 20px; width: 20px;""></div>
<div style=""width: 0; height: 0; border-top: 2px solid transparent; border-left: 6px solid #f4f4f4; border-bottom: 2px solid transparent; transform: translateX(16px) translateY(-4px) rotate(30deg);""></div>
</div>
<div style=""margin-left: auto;"">
<div style=""width: 0px; border-top: 8px solid #F4F4F4; border-right: 8px solid transparent; transform: translateY(16px);""></div>
<div style=""background-color: #f4f4f4; flex-grow: 0; height: 12px; width: 16px; transform: translateY(-4px);""></div>
<div style=""width: 0; height: 0; border-top: 8px solid #F4F4F4; border-left: 8px solid transparent; transform: translateY(-4px) translateX(8px);""></div>
</div>
</div>
</a>
<p style=""margin: 8px 0 0 0; padding: 0 4px;""><a href=""https://www.instagram.com/p/B3wtjXYjcjJ/?utm_source=ig_embed&amp;utm_campaign=loading"" style=""color: #000; font-family: Arial,sans-serif; font-size: 14px; font-style: normal; font-weight: normal; line-height: 17px; text-decoration: none; word-wrap: break-word;"" target=""_blank"" rel=""noopener noreferrer"">Quebrando o preconceito com café solúvel enquanto tomo um etíope liofilizado de uma das consideradas melhores torrefações do mundo e ouço a baita aula no podcast do @portalcoffea sobre o assunto. ☕️ Recomendo! Afinal, descobri que é um mercado que cresce o dobro do café convencional e representa 28% do total. . obs: 5 sachês custam mais caro do que 1 pacote de café em grão.</a></p>
<p style=""color: #c9c8cd; font-family: Arial,sans-serif; font-size: 14px; line-height: 17px; margin-bottom: 0; margin-top: 8px; overflow: hidden; padding: 8px 0 7px; text-align: center; text-overflow: ellipsis; white-space: nowrap;"">A post shared by <a href=""https://www.instagram.com/carolinaoda/?utm_source=ig_embed&amp;utm_campaign=loading"" style=""color: #c9c8cd; font-family: Arial,sans-serif; font-size: 14px; font-style: normal; font-weight: normal; line-height: 17px;"" target=""_blank"" rel=""noopener noreferrer""> Carol Oda</a> (@carolinaoda) on <time style=""font-family: Arial,sans-serif; font-size: 14px; line-height: 17px;"" datetime=""2019-10-18T13:24:31+00:00"">Oct 18, 2019 at 6:24am PDT</time></p>
</div>
</blockquote>
<script async="""" src=""//www.instagram.com/embed.js""></script>
",Filter Coffee,Beans,Espresso,Favourites,1
31585735999568,250g,250g,,,HUYE MOUNTAIN NATURAL 250,True,True,,True,14.5,250,,1,4419531997264,2020-01-08 13:41:20+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"<span>Rwanda is the land of 1000 hills and blessed with ideal growing conditions for coffee: High altitude, regular rainfall and rich soil. We have been roasting coffee from David Rubanzangabo’s washing station since 2013, and this is the second year that he has produced a naturally processed coffee. We love this cup for its rich, unique and developed sweetness: blueberry, winegum, blood orange, and sugar cane are all present in the cup. The mouthfeel is coating and luscious with a lasting finish.</span></p>
",Espresso Coffee,Beans,Espresso,Favourites,1
31585711652944,250g,250g,,,El Tito 250,True,True,,True,14.5,250,,1,4419527999568,2020-01-08 13:41:20+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"<span>Christian ‘Tito’ Monge comes from a farming family that have always dropped their coffee cherries to a local cooperative - CoopeTarrazu. </span></p>
",Espresso Coffee,Beans,Espresso,Origin: Centrals,1
31279463923792,Default Title,Default Title,,,GRINDER NANO - TIMEMORE,True,True,,True,139.0,400,,1,4364246646864,2020-01-02 13:52:25+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"This travel grinder is perfect for camping, hotel life and backpacking… its small size does not have any negative impact on the grind quality. Beautifully designed, this coffee tool is made from a single piece of aluminium coated with a textured pattern giving a great feel from the moment you pick it up.</p>
",Equipment,Equipment,Timemore,,0
31279571075152,Default Title,Default Title,,,GRINDER CHESTNUT - TIMEMORE,True,True,,True,139.0,400,,1,4364276006992,2019-12-30 09:30:33+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"<span style=""font-weight: 400;""></span><span style=""font-weight: 400;"">The chestnut grinder has won The RedDot award in 2017 for its design. It is a beautiful hand grinder made from a single piece of aluminium giving it a great feel from the moment you pick it up. The grinder demonstrates its quality through the fluidity of the turn and the consistency of the grind.</span></p>
",Equipment,Equipment,Timemore,,0
12306253152336,250g,250g,,,IVAN DOS SANTOS 250,True,True,,True,12.5,250,,1,1348494393424,2020-01-03 15:23:41+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"The dos Santos family have set their roots in the mountain of Caconde, producing coffee for over 40 years now. The region is truly blessed – with natural water springs at the top of the mountain sustaining the beautiful area that we have been lucky to visit many times. You will be enjoying Ivan and Roses best lots this season: clean, full bodied flavours of chocolate, vanilla, currants and sticky dates. This cup is balanced and smooth.</p>
",Espresso Coffee,Beans,Espresso,Origin: South America,1
35958087367,250g,250g,,,MAHEMBE 250,True,True,,True,14.0,250,,1,9626451207,2020-01-08 14:47:46+01:00,The Barn Coffee Roasters,https://thebarn.de,0,"Mahembe is a truly exceptional coffee and it is a unique cornerstone in our Rwandan collection. We visit the farm each summer, and after six years, we have forged a strong relationship with Justin Musabiyama who runs the washing station. Through our mutual commitment we are allowed to be the first to select his highest scoring lot each harvest. This year Mahembe has flavour notes of sweet morello cherries, black tea, cola with supplementing chocolate undertones. These flavours balance out in the cup with a clean, lasting finish.</p>
",Filter Coffee,Beans,Filter,Origin: Africa,1
31279506391120,Default Title,Default Title,,,GRINDER SLIM - TIMEMORE,True,True,,True,115.0,450,,1,4364258213968,2019-12-23 15:27:50+01:00,Special,https://thebarn.de,0,"<span style=""font-weight: 400;"">THIS IS A PREORDER ONLY: PRODUCT WILL BE SHIPPED OUT BY NOVEMBER 25th</span></p>
",Equipment,Equipment,Subscriber Special,,0
31271289552976,250g,250g,,,Sundrop 250,True,True,,True,14.5,250,,1,4362610212944,2020-01-07 20:56:30+01:00,The Barn Coffee Roasters,https://thebarn.de,0, </p>,Espresso Coffee,Beans,Filter,Origin: South America,1
